City,Category,Jaccard,b1_stars,b2_stars,b1_rev,b2_rev,b1_id,b2_id
Philadelphia,Restaurants,0.01650943396226415,4.0,4.5,80,351,8905925,8906331
Philadelphia,Restaurants,0.008547008547008548,4.0,4.5,80,510,8905925,8912696
Philadelphia,Restaurants,0.009314140558848433,4.0,3.5,80,1112,8905925,8916870
Philadelphia,Restaurants,0.018890200708382526,4.0,4.0,245,618,8905937,8906294
Philadelphia,Restaurants,0.013126491646778043,4.0,4.0,245,604,8905937,8906365
Philadelphia,Restaurants,0.006896551724137931,4.0,4.0,245,485,8905937,8907048
Philadelphia,Restaurants,0.023423423423423424,4.0,4.0,245,323,8905937,8907359
Philadelphia,Restaurants,0.01834862385321101,4.0,4.5,245,310,8905937,8909174
Philadelphia,Restaurants,0.010575793184488837,4.0,3.5,245,615,8905937,8909302
Philadelphia,Restaurants,0.008635578583765112,4.0,3.5,245,339,8905937,8910355
Philadelphia,Restaurants,0.007334963325183374,4.0,4.5,245,579,8905937,8910652
Philadelphia,Restaurants,0.008281573498964804,4.0,4.0,245,729,8905937,8910923
Philadelphia,Restaurants,0.02097902097902098,4.0,4.5,245,193,8905937,8911004
Philadelphia,Restaurants,0.011668611435239206,4.0,4.0,245,622,8905937,8911175
Philadelphia,Restaurants,0.010224948875255624,4.0,4.0,245,249,8905937,8911906
Philadelphia,Restaurants,0.016736401673640166,4.0,4.5,245,241,8905937,8912425
Philadelphia,Restaurants,0.013422818791946308,4.0,4.5,245,510,8905937,8912696
Philadelphia,Restaurants,0.009140767824497258,4.0,3.5,245,307,8905937,8912747
Philadelphia,Restaurants,0.012380952380952381,4.0,4.0,245,818,8905937,8913089
Philadelphia,Restaurants,0.009025270758122744,4.0,4.0,245,314,8905937,8913292
Philadelphia,Restaurants,0.011421319796954314,4.0,4.0,245,552,8905937,8913343
Philadelphia,Restaurants,0.0293896006028636,4.0,4.5,245,1121,8905937,8913682
Philadelphia,Restaurants,0.007001166861143524,4.0,4.0,245,618,8905937,8914292
Philadelphia,Restaurants,0.009505703422053232,4.0,4.0,245,286,8905937,8914450
Philadelphia,Restaurants,0.009940357852882704,4.0,4.0,245,263,8905937,8914456
Philadelphia,Restaurants,0.005599104143337066,4.0,3.5,245,653,8905937,8914617
Philadelphia,Restaurants,0.01597444089456869,4.0,4.0,245,73,8905937,8914706
Philadelphia,Restaurants,0.007267441860465116,4.0,3.5,245,1141,8905937,8915262
Philadelphia,Restaurants,0.01729106628242075,4.0,4.0,245,108,8905937,8915497
Philadelphia,Restaurants,0.01327433628318584,4.0,4.5,245,213,8905937,8915577
Philadelphia,Restaurants,0.008215962441314555,4.0,4.0,245,614,8905937,8916040
Philadelphia,Restaurants,0.005827505827505828,4.0,3.5,245,618,8905937,8916061
Philadelphia,Restaurants,0.004868549172346641,4.0,3.5,245,787,8905937,8916282
