BusinessName,AvgStarRating,ReviewCount,PageRank
Luke,4.0,4554,461.4448875367473
Peppermill Reno,4.0,2486,274.3370060030449
Santa Barbara Shellfish Company,4.0,2404,268.7081299284805
Mr. B's Bistro,4.0,2064,208.5051702111693
Prep & Pastry,4.5,2126,204.10475252405843
Surrey's Café & Juice Bar,4.5,2084,197.97934589500463
Cafe Fleur De Lis,4.0,1865,196.24120985001943
The Pancake Pantry,4.0,2063,191.7510576997055
District Donuts Sliders Brew,4.5,2062,184.620258322757
Milk and Honey Nashville,4.0,1725,176.05094643890072
Creole House Restaurant & Oyster Bar,4.0,1594,176.04830506974744
Gaylord Opryland Resort & Convention Center,3.0,1639,169.89642147002368
Mambo's,4.0,1223,136.21215379045205
Mazzaro's Italian Market,4.5,1551,130.90926148185181
Hellas Restaurant,4.5,1368,123.27674181655712
Three Muses,4.0,1165,113.75583566672644
Katie's Restaurant & Bar,4.5,1289,113.46081373180752
Milktooth,4.0,1379,112.96446344405726
The Depot Craft Brewery Distillery,4.0,1245,111.59494614822336
Cold Spring Tavern,4.5,1018,107.24843176801163
Desire Oyster Bar,4.0,1084,107.02366742961827
Cafe Beignet on Bourbon Street,3.5,1066,101.16154817975752
Edley's Bar-B-Que - 12 South,4.0,1114,100.44408709058602
Padaro Beach Grill,4.5,885,95.9072834304183
Harbor Seafood & Oyster Bar,4.0,954,94.9735312424034
Besito Mexican Restaurant,4.0,1092,93.60415455549773
Suraya,4.5,1121,86.12224984894038
Dawn Patrol,4.0,807,85.86756706862369
Jones,3.5,1141,85.60200053056118
Morrow's,4.0,831,85.03119396940697
The Fountain On Locust,4.5,1010,84.05091447639833
Bluewater Grill - Santa Barbara,4.0,768,81.94292099161915
Penang,3.5,1112,80.85576609649095
The Praline Connection,3.5,770,79.54744527330948
Livery - Indianapolis,4.5,971,75.40591533545131
Street- Taco and Beer Co.,4.5,805,73.8942478162698
Yah Mon,4.5,697,72.42589133217405
American Social,3.5,768,71.94064181782012
Rusty Pelican - Tampa,4.0,745,71.59788948301521
Creole Creamery,4.5,921,71.53055834207498
Preservation Hall,4.5,745,70.901128918822
Jason Aldean's Kitchen + Rooftop Bar,3.5,665,69.89139970125372
BOIL Seafood House,4.0,650,68.43099116278849
Backyard Bowls,4.0,659,67.92496060681083
Lilly's Cafe,4.5,777,67.76502601864229
Burger Republic,4.0,721,67.64763719212156
Salty's Island Bar & Grille,4.0,599,67.2928903255538
RumFish Grill,3.5,664,65.4879534306776
R2L,3.5,787,62.146270113429416
HORN'S EATERY,4.0,597,60.594774066975916
The Buffet,3.5,594,58.80726392547566
Grand Isle,4.0,588,58.80342292569284
Sushi Rose,3.5,634,58.41432913190395
Crown & Bull,3.5,668,58.23203079039222
Budweiser Brewery Experience,4.5,605,57.71610551345386
Cheu Noodle Bar,4.0,818,57.076390620487224
Han Dynasty,4.0,783,56.96381889253076
Red Owl Tavern,3.5,618,56.70781961375229
